TESTATA;27/01/2022;09:48;SALARI 2021/12;920
GE;CDC;LO_00@ND@PR@ND;81,10;ND
GE;RIGA;G;08;14;000006;;SE;STI;EURO;;3843,42;3843,42;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BL@ND;2020,11;ND
GE;CDC;EC_0010@ND@BS@ND;730,6;ND
GE;CDC;EC_0010@ND@BU@ND;1092,71;ND
GE;RIGA;G;61;01;000005;;AM_00@ND@SO@SE;STI;EURO;;5,29;5,29;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_00@ND@SO@SE;5,29;ND
GE;RIGA;G;61;01;000005;;AM_04@ND@SO@ND;STI;EURO;;1,30;1,30;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_04@ND@SO@ND;1,30;ND
GE;RIGA;G;61;01;000005;;AM_07@ND@SO@SE;STI;EURO;;4,36;4,36;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_07@ND@SO@SE;4,36;ND
GE;RIGA;G;61;01;000005;;CO_00@ND@SO@SE;STI;EURO;;0,72;0,72;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;CO_00@ND@SO@SE;0,72;ND
GE;RIGA;G;61;01;000005;;CO_01@ND@SO@SE;STI;EURO;;0,99;0,99;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;CO_01@ND@SO@SE;0,99;ND
GE;RIGA;G;61;01;000005;;DG_00@ND@SO@SE;STI;EURO;;0,93;0,93;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;DG_00@ND@SO@SE;0,93;ND
GE;RIGA;G;61;01;000005;;EC_0010@ND@BF@ND;STI;EURO;;3,41;3,41;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BF@ND;3,41;ND
GE;RIGA;G;61;01;000005;;EC_0010@ND@BL@ND;STI;EURO;;40,62;40,62;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BL@ND;40,62;ND
GE;RIGA;G;61;01;000005;;EC_0010@ND@BS@ND;STI;EURO;;19,41;19,41;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BS@ND;19,41;ND
GE;RIGA;G;61;01;000005;;EC_0010@ND@BU@ND;STI;EURO;;12,81;12,81;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BU@ND;12,81;ND
GE;RIGA;G;61;01;000005;;FA_01@ND@SO@SE;STI;EURO;;0,94;0,94;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;FA_01@ND@SO@SE;0,94;ND
GE;RIGA;G;61;01;000005;;LO_00@ND@CP@ND;STI;EURO;;5,03;5,03;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@CP@ND;5,03;ND
